village,num_hh,totalpop,male_pop,female_pop,hh_size
                WAKPE ,627,4 770 ,2 213 ,2 557 ,7.6
                ZAME ,609,3 390 ,1 580 ,1 810 ,5.6
            ARROND: KISSAMEY ,5 138 ,27 692 ,12 462 ,15 230 ,5.4
                DOGOHOUE ,299,1 513 ,678,835,5.1
                EDEHOUE ,260,1 511 ,713,798,5.8
                GBAKONOU ,521,2 844 ,1 264 ,1 580 ,5.5
                HAVOU ,191,877,369,508,4.6
                HEDJANAWA ,475,2 687 ,1 161 ,1 526 ,5.7
                HOUETAN ,394,2 672 ,1 250 ,1 422 ,6.8
                HOUNGBAME ,740,4 051 ,1 845 ,2 206 ,5.5
                KELETOME ,786,4 101 ,1 751 ,2 350 ,5.2
                KOUMAKO HOUE ,312,1 775 ,806,969,5.7
                LOKOSSOUHOUE ,166,643,265,378,3.9
                TANNOU ,378,1 661 ,783,878,4.4
                HOUETAN TOUVOU ,616,3 357 ,1 577 ,1 780 ,5.4
            ARROND: LONKLY ,2 593 ,14 344 ,6 507 ,7 837 ,5.5
                ABOLOUMEY ,271,1 927 ,882,1 045 ,7.1
                AGBANATE ,579,3 102 ,1 427 ,1 675 ,5.4
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                BADJAME ,290,1 786 ,789,997,6.2
                EGLIME ,638,3 147 ,1 382 ,1 765 ,4.9
                HOKY ,396,1 974 ,928,1 046 ,5
                LONKLY ,419,2 408 ,1 099 ,1 309 ,5.7
            ARROND: APLAHOUE ,5 307 ,26 340 ,12 487 ,13 853 ,5
                AFLANTAN ,423,2 233 ,1 005 ,1 228 ,5.3
                APLAHOUE ,702,2 660 ,1 288 ,1 372 ,3.8
                AVEGODO ,518,2 209 ,1 046 ,1 163 ,4.3
                AZONDOGAHOUE ,337,1 662 ,801,861,4.9
                BOSSOUHOUE ,251,1 368 ,642,726,5.5
                DANNOUHOUE ,282,1 746 ,833,913,6.2
                DJIKPAME ,364,1 965 ,929,1 036 ,5.4
                DOSSOUHOUE ,169,885,400,485,5.2
                GBEZE ,208,1 128 ,551,577,5.4
                KAÏTEME ,418,2 321 ,1 063 ,1 258 ,5.6
                KPODJI ,329,1 741 ,846,895,5.3
                LOKOGBA ,593,2 683 ,1 245 ,1 438 ,4.5
                TCHIGLIHOUE ,183,1 181 ,573,608,6.5
                ZOHOUDJI ,530,2 558 ,1 265 ,1 293 ,4.8
        COM: DJAKOTOME ,25 106 ,134 028 ,62 384 ,71 644 ,5.3
            ARROND: ADJINTIMEY ,3 523 ,16 160 ,7 415 ,8 745 ,4.6
                SEBIOHOUE ,576,2 931 ,1 354 ,1 577 ,5.1
                AGOHOUE-BALLIMEY ,638,3 145 ,1 453 ,1 692 ,4.9
                DOUMAHOU ,943,3 596 ,1 670 ,1 926 ,3.8
                GBOTOHOUE ,464,2 131 ,955,1 176 ,4.6
                HEKPE ,902,4 357 ,1 983 ,2 374 ,4.8
            ARROND: BETOUMEY ,4 729 ,22 170 ,10 212 ,11 958 ,4.7
                ABLOMEY ,118,655,332,323,5.6
                HOLOU LOKO ,525,2 620 ,1 175 ,1 445 ,5
                AISSANHOUE ,593,2 751 ,1 248 ,1 503 ,4.6
                BETOUMEY ,334,1 336 ,651,685,4
                BOTA ,724,3 240 ,1 475 ,1 765 ,4.5
                DOGOHOUE ,248,1 139 ,472,667,4.6
                KPATOHOUE ,337,1 490 ,679,811,4.4
                TCHANHOUE ,632,3 301 ,1 554 ,1 747 ,5.2
                TITONGON ,185,869,411,458,4.7
                ZOHOUDJI ,1 033 ,4 769 ,2 215 ,2 554 ,4.6
            ARROND: GOHOMEY ,2 449 ,17 706 ,8 090 ,9 616 ,7.2
                DEMAHOUHOUE ,125,1 200 ,541,659,9.6
                DOWOMEY ,209,1 534 ,752,782,7.3
                GOHOMEY ,645,5 494 ,2 480 ,3 014 ,8.5
                HAGOUMEY ,1 089 ,6 234 ,2 851 ,3 383 ,5.7
                LOKO-ATOUI ,381,3 244 ,1 466 ,1 778 ,8.5
            ARROND: HOUEGAMEY ,2 657 ,15 514 ,7 172 ,8 342 ,5.8
                DANMAKANHOUE ,445,2 592 ,1 194 ,1 398 ,5.8
                DJONOUHOUE ,278,2 016 ,935,1 081 ,7.3
                EDJIHOUE ,244,1 568 ,749,819,6.4
                GAMA FODE ,229,1 338 ,613,725,5.8
                GAME HOUEGBO ,305,1 488 ,672,816,4.9
                HOUEGAMEY ,292,1 473 ,685,788,5
                KANVIHOUE ,236,1 134 ,523,611,4.8
                WANOU ,176,827,399,428,4.7
                HOUNGBA ,74,342,143,199,4.6
                KPELADJAMEY ,240,1 428 ,621,807,6
                TEDEHOUE ,138,1 308 ,638,670,9.5
            ARROND: KINKINHOUE ,1 486 ,8 459 ,4 076 ,4 383 ,5.7
                DASSOUHOUE ,271,1 424 ,665,759,5.3
                KESSAHOUEDJI ,109,703,345,358,6.4
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                KINKINHOUE ,506,2 955 ,1 396 ,1 559 ,5.8
                SEGBEHOUE ,313,1 494 ,721,773,4.8
                SEGLAHOUE ,121,912,464,448,7.5
                ETONHOUE ,166,971,485,486,5.8
            ARROND: KOKOHOUE ,1 879 ,10 270 ,4 754 ,5 516 ,5.5
                FOGBADJA ,548,2 604 ,1 205 ,1 399 ,4.8
                GBOYOUHOUE ,70,428,185,243,6.1
                KANSOUHOUE ,334,1 978 ,915,1 063 ,5.9
                KOKOHOUE ,643,3 151 ,1 424 ,1 727 ,4.9
                MIGBOHOMEY ,197,1 532 ,735,797,7.8
                SEMANOUHOUE ,87,577,290,287,6.6
            ARROND: KPOBA ,1 576 ,9 603 ,4 539 ,5 064 ,6.1
                FANTCHOUTCHEHOUE ,170,936,450,486,5.5
                KPOBA ,636,4 233 ,2 034 ,2 199 ,6.7
                MEKPOHOUE ,395,1 999 ,935,1 064 ,5.1
                NAKIDAHOHOUE ,146,924,406,518,6.3
                ZOHOUDJI ,229,1 511 ,714,797,6.6
            ARROND: SOKOUHOUE ,2 832 ,14 648 ,6 937 ,7 711 ,5.2
                AKODEBAKOU ,288,1 360 ,635,725,4.7
                AVODJIHOUE ,297,1 356 ,646,710,4.6
                AVONNOUHOUE ,144,839,389,450,5.8
                GBEKEHOUE ,224,1 100 ,479,621,4.9
                HOUNKEMEY ,277,1 653 ,825,828,6
                SOKOUHOUE ,409,1 787 ,864,923,4.4
                ASSOGBAHOUE ,157,946,430,516,6
                SAHOUSOHOUE ,412,2 119 ,1 003 ,1 116 ,5.1
                TOKPOHOUE ,220,1 234 ,578,656,5.6
                ZOUZOUVOU ,404,2 254 ,1 088 ,1 166 ,5.6
            ARROND: DJAKOTOMEY I ,2 170 ,11 132 ,5 346 ,5 786 ,5.1
                DJAKOTOMEY CENTRE ,733,3 011 ,1 425 ,1 586 ,4.1
                AGBEDRANFO ,228,1 744 ,880,864,7.6
                AMEGANHOUE ,208,1 170 ,539,631,5.6
                ATCHOUHOUE ,197,1 076 ,498,578,5.5
                BEOTCHI ,264,1 121 ,551,570,4.2
                HOUNHOMEY ,411,2 278 ,1 094 ,1 184 ,5.5
                SIGBAVIHOUE ,129,732,359,373,5.7
            ARROND: DJAKOTOMEY II ,1 805 ,8 366 ,3 843 ,4 523 ,4.6
                BABOHOUE ,235,938,460,478,4
                GBOGNONHOUE ,294,1 204 ,558,646,4.1
                GOLAMEY ,62,246,119,127,4
                HOUNGBEZANMEY ,413,1 856 ,843,1 013 ,4.5
                LOKOUI-BEDJAMEY ,268,1 398 ,611,787,5.2
                KPAYAHOUE ,198,985,467,518,5
                TOHOUEHOUE ,335,1 739 ,785,954,5.2
        COM: DOGBO ,21 199 ,103 057 ,49 289 ,53 768 ,4.9
            ARROND: AYOMI ,3 777 ,18 222 ,8 466 ,9 756 ,4.8
                AGBEDRANFO ,265,1 149 ,551,598,4.3
                AYOMI ,465,2 307 ,1 099 ,1 208 ,5
                AVEDJIN ,206,1 113 ,514,599,5.4
                GBANNAVE ,368,1 659 ,807,852,4.5
                KPODAHA 1 ,613,2 886 ,1 265 ,1 621 ,4.7
                KPODAHA 2 ,779,3 997 ,1 782 ,2 215 ,5.1
                TOKPOTA ,250,1 291 ,617,674,5.2
                ZOHOUDJI ,567,2 810 ,1 379 ,1 431 ,5
                ZOKPEDJI ,264,1 010 ,452,558,3.8
            ARROND: DEVE ,3 032 ,12 627 ,6 170 ,6 457 ,4.2
                ADIDEVO ,296,1 228 ,588,640,4.1
                AGNAVO ,445,1 970 ,999,971,4.4
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                DEVE-HOME ,581,2 145 ,1 118 ,1 027 ,3.7
                GBAKEHOUE ,1 350 ,5 843 ,2 727 ,3 116 ,4.3
                ZOHOUDJI ,360,1 441 ,738,703,4
            ARROND: HONTON ,1 601 ,8 463 ,4 112 ,4 351 ,5.3
                ATCHANHOUE ,328,1 914 ,959,955,5.8
                AVEGODOE ,465,2 398 ,1 166 ,1 232 ,5.2
                DADOHOUE ,261,1 532 ,720,812,5.9
                KOUTIME ,312,1 442 ,715,727,4.6
                KPOHA ,235,1 177 ,552,625,5
            ARROND: LOKOGOHOUE ,1 818 ,10 102 ,4 906 ,5 196 ,5.6
                HOUNDROME ,197,984,478,506,5
                HOUNSA ,251,1 510 ,687,823,6
                LOKOGOHOUE ,565,3 131 ,1 513 ,1 618 ,5.5
                MIDANGBE ,119,589,314,275,4.9
                SEGBA ,203,1 014 ,489,525,5
                TOULEHOUDJI ,157,963,468,495,6.1
                VEHEDJI ,326,1 911 ,957,954,5.9
            ARROND: MADJRE ,1 705 ,8 925 ,4 209 ,4 716 ,5.2
                ADANDRO-AKODE ,183,892,444,448,4.9
                AYESSO ,120,822,377,445,6.9
                BOTAGBE ,310,1 805 ,855,950,5.8
                FAFADJI ,226,956,426,530,4.2
                GODOHOU ,182,1 139 ,556,583,6.3
                KENAVO ,97,570,264,306,5.9
                MADJRE ,447,2 129 ,1 032 ,1 097 ,4.8
                TOGANNOU ,140,612,255,357,4.4
            ARROND: TOTCHANGNI ,561,3 377 ,1 517 ,1 860 ,6
                ALLADA ,207,1 070 ,471,599,5.2
                GNIGBE ,187,1 235 ,553,682,6.6
                TOTCHANGNI ,167,1 072 ,493,579,6.4
            ARROND: TOTA ,8 705 ,41 341 ,19 909 ,21 432 ,4.7
                AHOMEY ,721,3 464 ,1 620 ,1 844 ,4.8
                DAHOUE ,648,3 046 ,1 444 ,1 602 ,4.7
                DEKANDJI ,778,3 454 ,1 710 ,1 744 ,4.4
                FONCOME I ,475,2 374 ,1 205 ,1 169 ,5
                FONCOME II ,746,3 917 ,1 917 ,2 000 ,5.3
                GOUHOUN ,189,1 325 ,651,674,7
                HOUEDJAME ,989,4 805 ,2 282 ,2 523 ,4.9
                HOUNGLOUI ,199,1 073 ,536,537,5.4
                KENOUHOUE ,144,669,335,334,4.6
                KPODAVE ,993,4 170 ,1 977 ,2 193 ,4.2
                KPOGODOU ,147,912,448,464,6.2
                LOKOGBA ,254,1 448 ,712,736,5.7
                MADANKANME ,97,627,273,354,6.5
                TOTA ,1 095 ,4 636 ,2 236 ,2 400 ,4.2
                ZAFFI I ,463,2 065 ,962,1 103 ,4.5
                ZAFFI II ,767,3 356 ,1 601 ,1 755 ,4.4
        COM: KLOUEKANME ,25 531 ,128 597 ,59 541 ,69 056 ,5
            ARROND: ADJAHONME ,4 671 ,23 368 ,10 765 ,12 603 ,5
                ADJAHONME CENTRE ,992,4 207 ,1 959 ,2 248 ,4.2
                DAYEHOUE ,175,1 059 ,511,548,6.1
                EDAHOUE ,380,2 336 ,1 040 ,1 296 ,6.1
                GODOHOU ,376,2 289 ,1 062 ,1 227 ,6.1
                HOHLUIME ,448,2 173 ,979,1 194 ,4.9
                OLOUHOUE ,469,2 682 ,1 149 ,1 533 ,5.7
                KPEVIDJI ,572,3 182 ,1 500 ,1 682 ,5.6
                HOSSOUHOUE ,419,2 278 ,1 148 ,1 130 ,5.4
                TCHOKPOHOUE ,299,1 146 ,529,617,3.8
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                TOIME MITOHOUE ,541,2 016 ,888,1 128 ,3.7
            ARROND: AHOGBEYA ,2 677 ,13 356 ,6 386 ,6 970 ,5
                AGLALI ,318,1 645 ,786,859,5.2
                AHOGBEYA ,165,829,378,451,5
                DADJI ,191,754,364,390,3.9
                DJIHAMI ,593,3 267 ,1 566 ,1 701 ,5.5
                GANHAYADJI ,755,3 468 ,1 654 ,1 814 ,4.6
                KLOSSOU ,143,685,321,364,4.8
                KPLAKATAGON ,205,1 316 ,639,677,6.4
                MADEME ,307,1 392 ,678,714,4.5
            ARROND: AYA-HOHOUE ,1 247 ,6 498 ,3 096 ,3 402 ,5.2
                AHOUDJI ,229,1 218 ,608,610,5.3
                AVEGANDJI ,384,2 127 ,1 022 ,1 105 ,5.5
                AYA-HOHOUE ,260,1 424 ,660,764,5.5
                KEDJI ,374,1 729 ,806,923,4.6
            ARROND: DJOTTO ,4 392 ,22 160 ,9 825 ,12 335 ,5
                ABLOME-DAVIHOUE ,505,3 001 ,1 341 ,1 660 ,5.9
                ,328,1 454 ,612,842,4.4
AGBOGANNOU(FDEGNONHOUE) ,,,,,
                AHOUEGANGBE-EDAHOUE ,201,1 249 ,583,666,6.2
                AKIME ,734,3 317 ,1 442 ,1 875 ,4.5
                AVEGANME ,861,4 351 ,1 911 ,2 440 ,5.1
                DEKANDJI ,202,816,343,473,4
                DJOTTO ,251,1 094 ,506,588,4.4
                GLOLIHOUE ,375,2 057 ,915,1 142 ,5.5
                NIGBO ,335,2 220 ,1 035 ,1 185 ,6.6
                NIGBOGAN ,294,1 112 ,495,617,3.8
                YENAWA ,306,1 489 ,642,847,4.9
            ARROND: HONDJI ,1 909 ,11 690 ,5 434 ,6 256 ,6.1
                HONDJIN AKPAHOUE ,617,3 422 ,1 565 ,1 857 ,5.5
                HONDJINGAN ,192,1 240 ,593,647,6.5
                KOGBETOHOUE ,368,2 304 ,1 094 ,1 210 ,6.3
                KOME ,305,1 604 ,737,867,5.3
                SOGLONOUHOUE ,427,3 120 ,1 445 ,1 675 ,7.3
            ARROND: LANTA ,2 647 ,14 686 ,6 724 ,7 962 ,5.5
                GBOWIME ,323,2 034 ,948,1 086 ,6.3
                LANTA ,718,3 646 ,1 677 ,1 969 ,5.1
                DEKANDJI ,350,2 668 ,1 248 ,1 420 ,7.6
                SAWAME-HOUEYIHO ,420,2 077 ,954,1 123 ,4.9
                TOKANME-ALIHO ,461,2 308 ,1 047 ,1 261 ,5
                TIKANME-KPODJI ,375,1 953 ,850,1 103 ,5.2
            ARROND: TCHIKPE ,2 872 ,13 076 ,6 061 ,7 015 ,4.6
                AGBAGO ,254,1 662 ,758,904,6.5
                AKOUEGBADJA ,528,2 923 ,1 377 ,1 546 ,5.5
                GNANTCHIME ,554,2 175 ,964,1 211 ,3.9
                KPAKPASSA ,248,1 117 ,509,608,4.5
                SOKPAME ,366,1 605 ,776,829,4.4
                ZOUNZONKANME ,574,2 188 ,1 016 ,1 172 ,3.8
                TCHIKPE CENTRE ,348,1 406 ,661,745,4
            ARROND: KLOUEKANME ,5 116 ,23 763 ,11 250 ,12 513 ,4.6
                AGBLEKOME ,678,3 324 ,1 601 ,1 723 ,4.9
                AGBODOHOUIN ,431,2 237 ,1 037 ,1 200 ,5.2
                TCHANVEDJI III ,250,1 494 ,700,794,6
                EHUZU ,852,3 909 ,1 868 ,2 041 ,4.6
                HLONHLONMITONWOU ,559,2 679 ,1 267 ,1 412 ,4.8
                SEGLAHOUE ,370,1 560 ,695,865,4.2
                TCHANVEDJI I ,567,2 674 ,1 288 ,1 386 ,4.7
                TCHANVEDJI II ,216,1 193 ,589,604,5.5
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                TROTROYUYU ,780,2 989 ,1 448 ,1 541 ,3.8
                ZOUVOU ,413,1 704 ,757,947,4.1
        COM: LALO ,17 735 ,119 926 ,56 529 ,63 397 ,6.8
            ARROND: ADOUKANDJI ,2 039 ,16 490 ,7 849 ,8 641 ,8.1
                ADOUKANDJI ,732,5 602 ,2 615 ,2 987 ,7.7
                AHOUADA ,375,2 690 ,1 259 ,1 431 ,7.2
                KINGNENOUHOUE ,155,1 617 ,832,785,10.4
                LOME ,286,2 658 ,1 247 ,1 411 ,9.3
                SEWAHOUE ,230,2 046 ,988,1 058 ,8.9
                YAMONTOU ,261,1 877 ,908,969,7.2
            ARROND: AHODJINNAKO ,1 179 ,7 639 ,3 595 ,4 044 ,6.5
                ADONOU ,339,1 989 ,895,1 094 ,5.9
                AHODJINNAKO ,225,1 394 ,642,752,6.2
                DOGOEDETA ,294,2 121 ,1 009 ,1 112 ,7.2
                HELLI ,191,1 426 ,696,730,7.5
                LOKOLI ,130,709,353,356,5.5
            ARROND: AHOMADEGBE ,833,5 403 ,2 533 ,2 870 ,6.5
                ADJAIGBONOU ,156,862,424,438,5.5
                AHOMADEGBE ,284,1 866 ,878,988,6.6
                ALOYA ,187,1 286 ,598,688,6.9
                HAGNONHOUE ,206,1 389 ,633,756,6.7
            ARROND: BANIGBE ,904,7 192 ,3 391 ,3 801 ,8
                AFOMAYI ,201,1 619 ,737,882,8.1
                BANIGBE ,351,2 791 ,1 307 ,1 484 ,8
                DOLOHOUE ,201,1 542 ,760,782,7.7
                KOUTCHIKANHOUE ,151,1 240 ,587,653,8.2
            ARROND: GNIZOUNME ,1 595 ,11 703 ,5 560 ,6 143 ,7.3
                ASSOGBAHOUE ,338,2 677 ,1 247 ,1 430 ,7.9
                DJIBAHOUN ,242,2 007 ,943,1 064 ,8.3
                GNIZOUNME ,358,2 167 ,1 061 ,1 106 ,6.1
                HANGBANNOU ,381,3 551 ,1 678 ,1 873 ,9.3
                TANDJI ,276,1 301 ,631,670,4.7
            ARROND: HLASSAME ,3 000 ,19 055 ,8 822 ,10 233 ,6.4
                ADJAGLIMEY ,709,4 259 ,2 015 ,2 244 ,6
                EDAGBAWLAHOUE ,339,1 984 ,904,1 080 ,5.9
                GNIGBANDJIMEY ,139,667,297,370,4.8
                KPASSAKANMEY ,136,841,378,463,6.2
                OUKANMEY ,556,3 744 ,1 797 ,1 947 ,6.7
                SOHOUNOUHOUE ,366,2 828 ,1 259 ,1 569 ,7.7
                SOWANOUHOUE ,439,2 980 ,1 380 ,1 600 ,6.8
                WEWEHOUE ,316,1 752 ,792,960,5.5
            ARROND: LOKOGBA ,2 089 ,15 991 ,7 486 ,8 505 ,7.7
                KAÏHOUE ,258,2 081 ,982,1 099 ,8.1
                KOUIVONHOUE ,203,1 739 ,790,949,8.6
                LOKOGBA CENTRE ,397,2 949 ,1 411 ,1 538 ,7.4
                TOULEHOUDJI ,402,3 009 ,1 421 ,1 588 ,7.5
                GNAMAME ,232,1 807 ,855,952,7.8
                YOBOHOUE ,209,1 273 ,574,699,6.1
                ZOUNDJAME ,388,3 133 ,1 453 ,1 680 ,8.1
            ARROND: TCHITO ,1 277 ,7 288 ,3 526 ,3 762 ,5.7
                ABOTI ,106,443,202,241,4.2
                OUINFA ,247,1 289 ,656,633,5.2
                TCHITO ,380,2 115 ,992,1 123 ,5.6
                ZOUNHOMEY ,232,1 566 ,758,808,6.8
                ZOUNTOKPA-CODJI ,312,1 875 ,918,957,6
            ARROND: TOHOU ,1 354 ,8 128 ,3 887 ,4 241 ,6
                BAYEKPA ,467,2 843 ,1 401 ,1 442 ,6.1
                GOVETA ,207,1 258 ,589,669,6.1
,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                HEHOUKPA ,130,630,301,329,4.8
                SAWANOU ,125,824,395,429,6.6
                TOHOU ,281,1 661 ,780,881,5.9
                ZOUNDOTAN ,144,912,421,491,6.3
            ARROND: ZALLI ,1 125 ,7 586 ,3 559 ,4 027 ,6.7
                ADJASSAGON ,221,1 525 ,713,812,6.9
                AZANGBE ,79,435,192,243,5.5
                KADEBOU ,198,1 391 ,673,718,7
                KINDJI ,142,907,432,475,6.4
                KOWOME ,139,1 075 ,508,567,7.7
                ZALLI ,346,2 253 ,1 041 ,1 212 ,6.5
            ARROND: LALO ,2 340 ,13 451 ,6 321 ,7 130 ,5.7
                LALO CENTRE ,1 104 ,5 759 ,2 723 ,3 036 ,5.2
                GBEFANDJI ,106,438,198,240,4.1
                GOULOKO ,316,2 147 ,1 017 ,1 130 ,6.8
                KOUTIME ,483,2 980 ,1 388 ,1 592 ,6.2
                ZONMONDJI ,331,2 127 ,995,1 132 ,6.4
        COM: TOVIKLIN ,17 773 ,88 611 ,41 153 ,47 458 ,5
            ARROND: ADJIDO ,2 601 ,13 335 ,6 187 ,7 148 ,5.1
                ADJIDO ,462,2 396 ,1 106 ,1 290 ,5.2
                AGBOZOHOUNDJI I ,281,1 482 ,717,765,5.3
                ATCHIOUME ,146,750,324,426,5.1
                AWANDJI ,239,1 300 ,600,700,5.4
                DANSOUHOUE ,135,712,334,378,5.3
                GLIDJI ,285,1 341 ,651,690,4.7
                HEDJAME ,332,1 701 ,776,925,5.1
                KPODJI ,242,1 204 ,547,657,5
                MAIBOU I ,228,1 125 ,525,600,4.9
                MAIBOU II ,251,1 324 ,607,717,5.3
            ARROND: AVEDJIN ,799,4 052 ,1 915 ,2 137 ,5.1
                DANDJEKPOHOUE ,228,1 204 ,559,645,5.3
                NATABOUHOUE ,164,661,290,371,4
                SOGNONNOUHOUE ,148,744,377,367,5
                TOHOUNHOUE ,259,1 443 ,689,754,5.6
            ARROND: DOKO ,3 412 ,16 642 ,7 708 ,8 934 ,4.9
                DJIDOWANOU ,332,1 672 ,774,898,5
                DOKO-CENTRE ,719,3 516 ,1 668 ,1 848 ,4.9
                DJOUGANME ,797,4 183 ,1 951 ,2 232 ,5.2
                KLEME ,338,1 569 ,720,849,4.6
                NANONME ,346,1 887 ,898,989,5.5
                TOULEHOUDJI ,367,1 663 ,743,920,4.5
                ZOHOUDJI ,513,2 152 ,954,1 198 ,4.2
            ARROND: HOUEDOGLI ,3 182 ,16 066 ,7 386 ,8 680 ,5
                ABLOGANME ,206,1 132 ,495,637,5.5
                AFFOMADI ,241,1 424 ,684,740,5.9
                AGBOZOHOUDJI II ,211,1 218 ,549,669,5.8
                HEWOGBE ,162,826,368,458,5.1
                HOUEDOGLI ,440,2 176 ,1 015 ,1 161 ,4.9
                HOUEGANGBE ,157,752,334,418,4.8
                KPAHOUIHOUE ,276,1 509 ,672,837,5.5
                LAGBAHOME ,285,1 425 ,683,742,5
                LAGBAKADA ,467,2 193 ,1 051 ,1 142 ,4.7
                TADOKOME ,269,1 177 ,545,632,4.4
                TCHANKADA ,226,991,412,579,4.4
                ZOUGOUME(HOUEDOGLI) ,242,1 243 ,578,665,5.1
            ARROND: MISSINKO ,1 696 ,8 034 ,3 593 ,4 441 ,4.7
                AGBEDOUME ,270,1 244 ,522,722,4.6
                AGOME ,305,1 349 ,621,728,4.4
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
                AYIDJEDO ,116,519,208,311,4.5
                DJOUDOME ,242,1 198 ,551,647,5
                MISSINKO ,395,1 710 ,754,956,4.3
                ZAFFI ,368,2 014 ,937,1 077 ,5.5
            ARROND: TANNOU-GOLA ,1 804 ,8 865 ,4 222 ,4 643 ,4.9
                DJIKEME ,154,733,358,375,4.8
                DOHODJI ,428,2 094 ,961,1 133 ,4.9
                GBAYEDJI ,307,1 555 ,716,839,5.1
                OUSSOUME ,267,1 346 ,646,700,5
                TANNOU GOLA ,307,1 439 ,723,716,4.7
                TCHANKOE ,144,718,340,378,5
                TOSSEHOUE ,197,980,478,502,5
            ARROND: TOVIKLIN ,4 279 ,21 617 ,10 142 ,11 475 ,5.1
                AKOME ,192,1 050 ,491,559,5.5
                DAVI ,412,2 291 ,1 030 ,1 261 ,5.6
                DJIGANGNONHOU ,230,1 140 ,517,623,5
                DOKO ATCHANVIGUEME ,241,1 596 ,776,820,6.6
                DOKO DJOUDOME ,333,1 830 ,871,959,5.5
                KPEVE ,392,1 912 ,886,1 026 ,4.9
                KPOHOUDJOU ,528,2 637 ,1 254 ,1 383 ,5
                TANNOU AVEDJI ,500,2 553 ,1 197 ,1 356 ,5.1
                TOVIKLIN I ,561,2 579 ,1 225 ,1 354 ,4.6
                TOVIKLIN II ,546,2 276 ,1 056 ,1 220 ,4.2
                ZOHENOU ,344,1 753 ,839,914,5.1
 , ,,,,
DEPARTEMENT DE LA DONGA,,,,,
,Nombre ménages ,Total ,Masculin ,Féminin ,Taille ménage 
    DEP: DONGA ,66 433 ,543 130 ,270 754 ,272 376 ,8.2
        COM: BASSILA ,16 927 ,130 091 ,64 576 ,65 515 ,7.7
            ARROND: ALEDJO ,2 516 ,23 238 ,11 521 ,11 717 ,9.2
                AKARADE ,368,3 258 ,1 610 ,1 648 ,8.9
                ALEDJO ,1 103 ,9 845 ,4 895 ,4 950 ,8.9
                BOUTOU ,179,1 634 ,760,874,9.1
                KADEGUE ,118,1 276 ,599,677,10.8
                KAOUTE ,85,845,425,420,9.9
                PARTAGO ,472,4 417 ,2 287 ,2 130 ,9.4
                TCHIMBERI ,191,1 963 ,945,1 018 ,10.3
            ARROND: MANIGRI ,3 697 ,26 409 ,13 038 ,13 371 ,7.1
                IGBERE ,706,4 287 ,2 144 ,2 143 ,6.1
                MANIGRI IKANNI ,992,7 175 ,3 605 ,3 570 ,7.2
                MANIGRI OKE ,1 601 ,12 529 ,6 063 ,6 466 ,7.8
                WANNOU ,398,2 418 ,1 226 ,1 192 ,6.1
            ARROND: PENESSOULOU ,4 009 ,33 875 ,16 810 ,17 065 ,8.4
                BAYAKOU ,461,4 045 ,1 993 ,2 052 ,8.8
                BODI ,827,6 906 ,3 448 ,3 458 ,8.4
                KODOWARI ,503,3 952 ,1 981 ,1 971 ,7.9
                NAGAYILE ,489,4 596 ,2 300 ,2 296 ,9.4
                NIORO ,146,1 462 ,733,729,10
                PENELAN ,374,3 396 ,1 681 ,1 715 ,9.1
                PENESSOULOU ,618,4 908 ,2 387 ,2 521 ,7.9
                SALMANGA ,591,4 610 ,2 287 ,2 323 ,7.8
            ARROND: BASSILA ,6 705 ,46 569 ,23 207 ,23 362 ,6.9
                AORO-LOKPA ,147,1 143 ,564,579,7.8
                AORO-NAGO ,367,2 689 ,1 339 ,1 350 ,7.3
                BAKABAKA ,382,2 960 ,1 502 ,1 458 ,7.7
                BASSILA 1 ,1 122 ,8 511 ,4 270 ,4 241 ,7.6
                BASSILA 2 ,801,4 598 ,2 270 ,2 328 ,5.7
                BIGUINA ,971,6 811 ,3 418 ,3 393 ,7
                DIEPANI ,156,882,409,473,5.7
                DOGUE ,627,4 539 ,2 341 ,2 198 ,7.2
                IGBO-MACRO ,403,2 591 ,1 310 ,1 281 ,6.4
                FIRIHOUN ,307,2 141 ,1 034 ,1 107 ,7
                KIKELE ,638,5 043 ,2 475 ,2 568 ,7.9
                KPREKETE ,784,4 661 ,2 275 ,2 386 ,5.9
        COM: COPARGO ,7 246 ,70 938 ,35 549 ,35 389 ,9.8
            ARROND: ANANDANA ,1 099 ,10 784 ,5 494 ,5 290 ,9.8
                ANANDANA ,230,2 461 ,1 279 ,1 182 ,10.7
                FOUNGOU ,91,983,507,476,10.8
                KOUBENEBENE ,130,1 642 ,798,844,12.6
                KOUKOULBENDI ,131,913,468,445,7
                KOUTCHANTI ,79,730,359,371,9.2
                PARGOUTE ,296,2 584 ,1 332 ,1 252 ,8.7
                SETRAH ,142,1 471 ,751,720,10.4
            ARROND: PABEGOU ,1 468 ,14 177 ,7 150 ,7 027 ,9.7
                BAMISSO ,130,1 319 ,627,692,10.1
                GNANFOUNOUN ,168,1 413 ,715,698,8.4
